epoch,L_fid,L_sim,L_c,total_loss,val_loss
1,8.740178,2.0235975,0.45763385,11.221409,9.403883
2,4.1391706,2.0074196,0.4686914,6.6152816,8.728355
3,3.9733083,1.7742741,0.49971506,6.2472973,7.64538
4,3.065477,1.8626723,0.49449247,5.4226418,7.442266
5,3.0368657,1.8963664,0.4400491,5.3732815,7.4492483
