x,y_test,y_predicted
3600.0,22.08869,2.8575077
3601.4893,2.0541344,2.7947345
3602.9785,-3.706903,3.223672
3604.4678,6.768165,3.332162
3605.9568,16.40278,2.3604085
3607.446,10.4668665,3.1303015
3608.9353,-3.422871,3.062509
3610.4246,9.717794,3.0482316
3611.9138,-1.6125759,2.9849627
3613.403,-4.4499006,2.9605584
3614.892,-7.012997,3.2946134
3616.3813,2.6562636,2.4904914
3617.8706,2.5913038,2.8262844
3619.3599,10.255678,2.9131045
3620.849,-3.5388825,3.1374686
3622.3384,7.1759486,2.8963814
3623.8276,7.2673073,3.1917162
3625.3167,-4.064433,3.5053034
3626.806,-0.6930002,2.3044808
3628.2952,10.911442,3.071269
3629.7844,-2.6507266,0.51032877
3631.2737,4.4949875,2.7067442
3632.763,3.146763,1.3139904
3634.252,-6.534971,3.0210078
3635.7412,21.475973,2.5438473
3637.2305,-6.248175,2.5990412
3638.7197,-0.59455657,2.9158423
3640.209,5.095944,2.5745335
3641.6982,3.2638345,2.0231736
3643.1873,-6.216741,0.7729865
3644.6765,0.14156893,2.9238558
3646.1658,-3.9634886,2.6315744
3647.655,7.832222,2.7383058
3649.1443,-8.549812,3.01706
3650.6335,-4.899761,0.81208843
3652.1228,-1.9108523,2.673381
3653.6118,3.6867232,3.0110824
3655.101,0.61049473,2.23965
3656.5903,5.2052345,2.7173796
3658.0796,8.487236,2.5680418
3659.5688,-4.816555,2.1098952
3661.058,-14.30169,2.61023
3662.547,8.305856,2.5477839
3664.0364,-0.32397163,2.359651
3665.5256,0.5420213,2.3606992
3667.015,1.1872727,2.2918403
3668.5042,5.297191,2.042907
3669.9934,-0.7608009,2.2689445
3671.4827,-4.9941726,2.2312818
3672.9717,-2.5802462,1.7416422
3674.461,-13.906134,0.34009257
3675.9502,0.04468179,1.8431938
3677.4395,0.63087636,2.510603
3678.9287,3.061535,1.9813939
3680.418,11.30393,2.6704733
3681.907,-2.5713031,2.0492458
3683.3962,9.485418,2.3086014
3684.8855,5.0358987,2.467117
3686.3748,1.8478985,2.2740622
3687.864,10.31353,2.0399516
3689.3533,4.33251,1.8244852
3690.8425,-2.8963773,2.4014888
3692.3315,-6.2411947,2.3384237
3693.8208,3.6384585,2.2911916
3695.31,7.0127325,2.1374514
3696.7993,1.5462729,2.1384718
3698.2886,-4.405737,2.1779146
3699.7778,3.0082872,1.4095438
3701.2668,4.686865,2.3812947
3702.756,6.6597157,1.8461655
3704.2454,7.9592605,1.3745008
3705.7346,-2.6785939,1.8870497
3707.2239,0.65214825,2.2031677
3708.7131,-0.5020598,0.0673847
3710.2021,0.09319852,1.8389053
3711.6914,7.1411915,2.6532545
3713.1807,-1.7629651,-0.0022625697
3714.67,6.2334437,2.3423219
3716.1592,3.8454719,2.201179
3717.6484,-4.1614943,2.0286465
3719.1377,0.7204124,1.9824591
3720.6267,0.09048272,1.9214464
3722.116,-2.083252,2.211464
3723.6052,-2.8153315,2.1299522
3725.0945,8.254882,2.3773808
3726.5837,-2.8057714,1.9987737
3728.073,1.6198149,2.304354
3729.562,8.2391,2.5709906
3731.0513,-0.64155567,1.974008
3732.5405,-0.6448951,2.4453287
3734.0298,-2.8675506,1.8588252
3735.519,7.130705,2.0777583
3737.0083,-1.857044,0.28886202
3738.4976,-3.1547203,2.303547
3739.9866,0.88456714,2.1566064
3741.4758,0.41685978,2.1283529
3742.965,-2.4525983,1.9726987
3744.4543,5.6958275,1.8914194
3745.9436,12.862831,2.0690715
3747.4329,-5.8132563,2.5494206
3748.9219,-0.86009735,2.133984
3750.4111,5.15453,1.9869251
3751.9004,6.48827,1.6494339
3753.3896,-3.3940775,1.8599621
3754.879,-7.3082013,2.2946076
3756.3682,2.6646533,2.0922089
3757.8574,0.5102811,1.9971079
3759.3464,-0.13681665,2.3390818
3760.8357,1.6999179,1.9367161
3762.325,0.020511553,2.2200997
3763.8142,7.4979362,2.2652261
3765.3035,-2.8441954,2.1056323
3766.7927,0.42769969,2.0753298
3768.2817,0.57756805,2.1294386
3769.771,0.645223,1.7603543
3771.2603,4.188444,2.2977352
3772.7495,6.042877,2.053864
3774.2388,1.5841807,2.3860855
3775.728,-0.537473,1.9284164
3777.217,2.4966455,2.170063
3778.7063,-0.31172445,2.3134708
3780.1956,5.4205174,1.9989668
3781.6848,-4.818935,2.103863
3783.174,4.979923,1.962934
3784.6633,1.0093439,1.9972138
3786.1526,0.39460036,2.0380192
3787.6416,4.46585,2.237034
3789.1309,4.3939095,1.8935468
3790.62,10.816644,2.6654768
3792.1094,-1.1300013,2.5237842
3793.5986,2.353505,2.2193227
3795.088,5.132136,1.7609911
3796.577,12.585462,2.1516623
3798.0662,4.0909677,2.1490662
3799.5554,5.7147136,2.135169
3801.0447,3.751998,2.1552615
3802.534,3.8647296,1.9239013
3804.0232,-1.713399,1.8712379
3805.5125,-0.061929002,2.2408385
3807.0015,0.9837244,1.953773
3808.4907,-2.0762575,2.2137957
3809.98,-0.3155646,2.0450437
3811.4692,1.6918007,2.2489367
3812.9585,-3.2418692,2.2961826
3814.4478,9.019104,1.8190875
3815.9368,3.7518275,2.2360206
3817.426,1.1407248,2.3905826
3818.9153,0.07318385,1.775849
3820.4045,2.936294,2.5613143
3821.8938,3.1804218,2.0429807
3823.383,3.1245058,2.507962
3824.8723,1.5225463,2.270472
3826.3613,2.7691245,1.7783172
3827.8506,1.9980106,2.5131347
3829.3398,-0.8382156,2.4000113
3830.829,1.0124189,2.3100507
3832.3184,3.4601712,2.6387808
3833.8076,2.7741282,2.2758875
